id,name,amenity,lat,lon
119,WinMart+,,10.7665987,106.6920839
120,WinMart+,,10.7690914,106.6874383
121,WinMart+,,10.7643484,106.6962681
122,WinMart+,,10.75872,106.6882107
123,WinMart+,,10.7685855,106.6994331
124,WinMart+,,10.7925786,106.6935162
125,WinMart+,,10.7912138,106.6937093
126,WinMart+,,10.7617002,106.6901393
127,WinMart+,,10.7811422,106.7041941
128,WinMart+,,10.7916722,106.6962466
129,WinMart+,,10.7893734,106.6967884
130,WinMart+,,10.7870877,106.6980813
131,WinMart+,,10.7690762,106.6911424
132,Trường Đại Học KHXH&NV Thành phố Hồ Chí Minh - Cơ Sở 1,college,10.7856151,106.7030012
133,Unknown,,10.7742791,106.6997921
134,Siêu thị phượt,,10.7655607,106.6924438
135,Tạp Hoá Tiến Hưng,,10.7620742,106.6904162
136,Unknown,,10.763547,106.6930808
137,FamilyMart,,10.7888019,106.696127
138,Cửa Hàng Tiện Lợi B's Mart,,10.7643554,106.6913421
139,Bảo Tàng Mỹ Thuật,,10.7691968,106.6996581
140,Tòa nhà Bitexco,,10.7706801,106.704864
141,Unknown,,10.767144,106.6948322
142,Lê Thánh Tôn,,10.7750733,106.7007175
143,7-Eleven,,10.7705345,106.6879964
144,Thực Phẩm Hữu Cơ An Toàn - Nam An,,10.7731189,106.7007584
145,Unknown,,10.7695785,106.6970016
146,Unknown,,10.7627701,106.6878402
147,FamilyMart,,10.7804426,106.7073546
148,FamilyMart,,10.7713737,106.7023543
149,Circle K,,10.7738202,106.6988707
150,WinMart+,,10.7703407,106.6919944
151,Thư viện Khoa học Tổng hợp,,10.7755096,106.6988245
152,Nguyễn Kim,,10.7683789,106.6957937
153,7-Eleven,,10.7705527,106.6879477
154,Unknown,,10.766391,106.6962326
155,Unknown,,10.7658092,106.6965487
156,Unknown,,10.7849873,106.6957305
157,Unknown,,10.7661781,106.6879571
158,Unknown,,10.764657,106.6875678
159,City Plaza,,10.7645291,106.6874075
160,Unknown,,10.7621024,106.6891263
161,Unknown,,10.792129,106.6930053
162,Unknown,,10.7637656,106.6903151
163,Unknown,,10.7644991,106.6906971
164,Unknown,,10.7658114,106.6907638
165,Tổng Công ty Samco,,10.7594652,106.6877808
166,Nguyễn Thị Nghĩa,,10.768802,106.693696
167,Co.op smile,,10.7634408,106.6957358
168,Unknown,,10.7856676,106.7023728
169,Unknown,school,10.7864397,106.6979676
170,Unknown,,10.7852278,106.6988881
171,Unknown,,10.7686806,106.6967533
172,Chợ Nancy,,10.7574579,106.6860184
173,Giao lộ Hàm Nghi - Tôn Thất Đạm,,10.7707776,106.7030582
174,Unknown,,10.782461,106.7022284
175,Trần Hưng Đạo,,10.7685405,106.695205
176,Unknown,,10.7680302,106.698549
177,Ministop,,10.76894,106.699493
178,Unknown,,10.7686252,106.6989439
179,Circle K,,10.7787519,106.7019218
180,Unknown,,10.7656939,106.6897877
181,Unknown,,10.7706222,106.7036914
182,Nguyễn Trãi,,10.7603133,106.6837907
183,Circle K,,10.7733237,106.696254
184,Familymart,,10.7617773,106.6960949
185,Unknown,,10.7605084,106.6932442
186,GS25,,10.7699152,106.68837
