id,name,amenity,lat,lon,road_node
531,Trường Trung học cơ sở Huỳnh Khương Ninh,school,10.789299903809614,106.69575312289552,411919375
532,Unknown,parking,10.787792071851763,106.70078218542687,9928510948
533,Unknown,parking,10.786237650382423,106.70296218286506,2974077439
534,Công viên Phong Châu,,10.766412366666666,106.68284366666666,11017261001
535,Ministop,,10.794459827897452,106.6909070442841,411918711
536,7-Eleven,,10.7918529,106.6899345,411926140
537,Ministop,,10.790490990258018,106.69210423239228,411926022
538,Unknown,parking,10.774203215973314,106.70165026849894,411919405
539,Cửa hàng Xăng dầu Petrolimex Số 03,fuel,10.771413775486408,106.69517562149598,4608280833
540,7-Eleven,,10.768413794793084,106.69302768769064,411926483
